"Table 24--U.S. corn and sorghum imports by selected sources (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Import and country/region 1/,,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
Corn 2/,Canada,28,60,459,159,502,220,379,285,128,392,297,111,194,297,294,203,108,117,360,226,124,608,491,"1,484",441,186,835,638,466
,Brazil,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,2,3,1,2,3,2,12,90,"1,580",179,78,201,92,157
,Argentina,11,20,22,8,4,2,9,19,48,30,22,11,16,17,10,11,35,33,51,26,26,35,68,572,85,123,107,195,119
,Turkey,1,,0,0,0,0,0,,,,,,,,,,,,,1,,,14,44,79,53,370,352,66
,Mexico,0,1,2,1,1,2,3,4,9,8,10,10,6,5,13,23,20,86,35,29,14,9,11,72,38,46,30,37,40
,Other Europe,,0,,,0,,0,,,,0,0,,,0,0,,,,,0,0,0,34,0,,,0,35
,Chile,5,3,14,9,17,15,23,26,35,40,40,39,39,47,38,35,55,65,57,44,44,37,70,80,50,18,17,17,20
,European Union-27,1,0,1,2,2,1,1,1,1,6,6,1,1,0,1,0,0,0,0,13,0,0,1,66,23,292,113,76,15
,India,,,,,,,,,,,,,,,,,,,,,0,,,0,1,5,3,,2
,China (Mainland),,,,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Peru,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1
,Dominican Republic,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0
,Honduras,,0,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,,0
,Vietnam,,,,,,,0,0,0,0,,,0,,,,0,0,0,0,,0,0,0,0,0,0,0,0
,Sub-Saharan Africa,,,,,,,0,,0,,,,0,,,,,,,,,,0,,,,,,0
,Guyana,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bolivia,,0,,,,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Colombia,,,,,,,0,,,,,,,0,0,,0,0,0,0,0,0,,,0,0,0,0,0
,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
,"New Zealand, No Islands",,,,,,0,0,0,,0,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
,Ecuador,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Korea,0,0,,,0,0,0,,0,,,,0,0,0,,0,,0,0,0,,,0,,,,0,0
,Uruguay,,,,,,,,,,,,,,,,,,,,0,,,,68,0,,0,0,0
,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Antigua & Barbuda,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
